Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS▼,OPS+,rOBA,Rbat+,TB,HBP,SH,Pos,Awards,Player-additional
117,Duffy Lewis,32,NYY,AL,-0.8,107,408,365,34,99,8,1,4,59,2,8,24,32,.271,.320,.332,.651,70,.305,66,121,2,16,7/H9,,lewisdu01
118,Greasy Neale*,28,CIN,NL,1.9,150,601,530,55,135,10,7,3,46,29,12,45,48,.255,.322,.317,.639,85,.316,85,168,8,18,*9/8,,nealegr01
119,Ivey Wingo*,29,CIN,NL,1.4,108,391,364,32,96,11,5,2,38,6,4,19,13,.264,.300,.338,.638,84,.306,83,123,0,8,*2/H4,,wingoiv01
120,Bill Wambsganss,26,CLE,AL,-0.6,153,665,565,83,138,16,11,1,55,9,18,54,26,.244,.316,.317,.633,65,.300,62,179,5,40,*4,,wambsbi01
121,Mike Herrera,27,CSW,NNL,0.4,61,270,243,36,65,10,0,0,27,9,,17,,.267,.323,.309,.632,88,.315,90,75,3,7,*5/46,,herremi01
122,Patsy Gharrity,28,WSH,AL,1.3,131,487,428,51,105,18,3,3,44,6,5,37,52,.245,.307,.322,.629,69,.301,65,138,1,19,*2/H37,,gharrpa01
123,Morrie Rath*,32,CIN,NL,2.0,129,573,506,61,135,7,4,2,28,10,11,36,24,.267,.319,.308,.628,81,.301,82,156,3,28,*4/H59,,rathmo01
124,Bienvenido Jiménez,30,CSW,NNL,1.7,52,225,191,35,45,6,3,0,17,11,,19,,.236,.327,.298,.626,87,.322,91,57,7,8,*4,,jimenbi01
125,Ralph Jefferson,24,ABC,NNL,0.2,58,224,209,19,56,4,3,0,27,2,,12,,.268,.308,.316,.623,86,.303,84,66,0,3,*97/81,,jeffera01
126,Marcelino Guerra,30,CSW,NNL,0.3,55,236,208,30,51,9,1,1,26,14,,18,,.245,.308,.313,.621,85,.315,85,65,1,9,93/8,,guerrma03
127,Dick Wallace,37,SLG,NNL,0.6,54,219,182,15,46,4,0,0,15,1,,23,,.253,.340,.275,.615,83,.311,89,50,1,13,56/42,,walladi01
128,Russell Powell,30,ABC,NNL,0.8,69,250,221,27,55,10,0,0,25,1,,20,,.249,.317,.294,.611,82,.304,84,65,2,7,*2/943,,powelru01
129,Eugene Moore,31,2TM,NNL,0.4,54,228,193,36,46,7,0,0,21,9,,23,,.238,.335,.275,.609,82,.315,88,53,5,7,*79/8,,mooreeu02
130,Larry Kopf#,29,CIN,NL,0.8,126,514,458,56,112,15,6,0,59,14,13,35,24,.245,.305,.303,.609,76,.292,76,139,5,16,*6/458H,,kopfla01
131,George Cutshaw,33,PIT,NL,0.9,131,549,488,56,123,16,8,0,47,17,14,23,10,.252,.287,.318,.605,71,.289,67,155,1,37,*4/H,,cutshge01
132,Lunie Danage,25,SLG,NNL,0.6,57,228,210,25,53,4,2,1,25,7,,12,,.252,.299,.305,.604,80,.298,80,64,2,4,45/916,,danaglu01
133,Nemo Leibold*,28,CHW,AL,-1.1,108,480,413,61,91,16,3,1,28,7,15,55,30,.220,.316,.281,.597,59,.288,61,116,3,9,*9/78H,,leibone01
134,Ray Powell*,31,BSN,NL,-0.5,147,666,609,69,137,12,12,6,29,10,18,44,83,.225,.282,.314,.595,75,.276,73,191,4,9,*8/9H,,powelra01
135,Eustaquio Pedroso,33,CSW,NNL,-0.2,49,203,180,15,42,9,2,0,28,5,,14,,.233,.289,.306,.594,77,.293,76,55,0,9,*3,,pedroeu01
136,Ivy Olson,34,BRO,NL,0.4,143,666,637,71,162,13,11,1,46,4,7,20,19,.254,.278,.314,.592,68,.282,64,200,1,7,*64,,olsoniv01
